"Title","AWE: Whole Economy Level (£): Seasonally Adjusted Total Pay Excluding Arrears"
"CDID","KAB9"
"Source dataset ID","EMP"
"PreUnit","£"
"Unit",""
"Release date","15-11-2022"
"Next release","13 December 2022"
"Important notes",
"2000","313"
"2001","330"
"2002","340"
"2003","351"
"2004","366"
"2005","383"
"2006","401"
"2007","421"
"2008","436"
"2009","435"
"2010","444"
"2011","455"
"2012","460"
"2013","466"
"2014","471"
"2015","482"
"2016","494"
"2017","505"
"2018","520"
"2019","538"
"2020","547"
"2021","579"
"2000 Q1","306"
"2000 Q2","311"
"2000 Q3","315"
"2000 Q4","321"
"2001 Q1","325"
"2001 Q2","328"
"2001 Q3","331"
"2001 Q4","334"
"2002 Q1","335"
"2002 Q2","340"
"2002 Q3","342"
"2002 Q4","343"
"2003 Q1","345"
"2003 Q2","349"
"2003 Q3","353"
"2003 Q4","357"
"2004 Q1","358"
"2004 Q2","364"
"2004 Q3","369"
"2004 Q4","373"
"2005 Q1","376"
"2005 Q2","380"
"2005 Q3","386"
"2005 Q4","390"
"2006 Q1","396"
"2006 Q2","399"
"2006 Q3","401"
"2006 Q4","408"
"2007 Q1","421"
"2007 Q2","416"
"2007 Q3","421"
"2007 Q4","424"
"2008 Q1","441"
"2008 Q2","432"
"2008 Q3","434"
"2008 Q4","435"
"2009 Q1","429"
"2009 Q2","436"
"2009 Q3","436"
"2009 Q4","438"
"2010 Q1","441"
"2010 Q2","443"
"2010 Q3","445"
"2010 Q4","448"
"2011 Q1","453"
"2011 Q2","454"
"2011 Q3","455"
"2011 Q4","457"
"2012 Q1","456"
"2012 Q2","461"
"2012 Q3","463"
"2012 Q4","462"
"2013 Q1","460"
"2013 Q2","470"
"2013 Q3","466"
"2013 Q4","467"
"2014 Q1","467"
"2014 Q2","469"
"2014 Q3","470"
"2014 Q4","476"
"2015 Q1","478"
"2015 Q2","481"
"2015 Q3","484"
"2015 Q4","485"
"2016 Q1","489"
"2016 Q2","493"
"2016 Q3","495"
"2016 Q4","497"
"2017 Q1","499"
"2017 Q2","504"
"2017 Q3","507"
"2017 Q4","509"
"2018 Q1","514"
"2018 Q2","515"
"2018 Q3","522"
"2018 Q4","527"
"2019 Q1","531"
"2019 Q2","535"
"2019 Q3","542"
"2019 Q4","541"
"2020 Q1","544"
"2020 Q2","528"
"2020 Q3","549"
"2020 Q4","566"
"2021 Q1","566"
"2021 Q2","577"
"2021 Q3","583"
"2021 Q4","592"
"2022 Q1","605"
"2022 Q2","607"
"2022 Q3","618"
"2000 JAN","307"
"2000 FEB","300"
"2000 MAR","310"
"2000 APR","310"
"2000 MAY","312"
"2000 JUN","311"
"2000 JUL","314"
"2000 AUG","315"
"2000 SEP","317"
"2000 OCT","318"
"2000 NOV","320"
"2000 DEC","325"
"2001 JAN","324"
"2001 FEB","326"
"2001 MAR","325"
"2001 APR","328"
"2001 MAY","328"
"2001 JUN","329"
"2001 JUL","329"
"2001 AUG","331"
"2001 SEP","332"
"2001 OCT","333"
"2001 NOV","334"
"2001 DEC","336"
"2002 JAN","336"
"2002 FEB","335"
"2002 MAR","335"
"2002 APR","338"
"2002 MAY","340"
"2002 JUN","341"
"2002 JUL","342"
"2002 AUG","342"
"2002 SEP","342"
"2002 OCT","342"
"2002 NOV","343"
"2002 DEC","344"
"2003 JAN","345"
"2003 FEB","343"
"2003 MAR","348"
"2003 APR","349"
"2003 MAY","349"
"2003 JUN","350"
"2003 JUL","351"
"2003 AUG","353"
"2003 SEP","354"
"2003 OCT","356"
"2003 NOV","356"
"2003 DEC","358"
"2004 JAN","359"
"2004 FEB","354"
"2004 MAR","361"
"2004 APR","364"
"2004 MAY","364"
"2004 JUN","365"
"2004 JUL","367"
"2004 AUG","368"
"2004 SEP","371"
"2004 OCT","373"
"2004 NOV","373"
"2004 DEC","374"
"2005 JAN","377"
"2005 FEB","374"
"2005 MAR","377"
"2005 APR","378"
"2005 MAY","381"
"2005 JUN","381"
"2005 JUL","384"
"2005 AUG","387"
"2005 SEP","388"
"2005 OCT","388"
"2005 NOV","390"
"2005 DEC","391"
"2006 JAN","393"
"2006 FEB","397"
"2006 MAR","398"
"2006 APR","396"
"2006 MAY","398"
"2006 JUN","402"
"2006 JUL","401"
"2006 AUG","401"
"2006 SEP","401"
"2006 OCT","404"
"2006 NOV","406"
"2006 DEC","413"
"2007 JAN","421"
"2007 FEB","426"
"2007 MAR","417"
"2007 APR","413"
"2007 MAY","416"
"2007 JUN","419"
"2007 JUL","420"
"2007 AUG","421"
"2007 SEP","423"
"2007 OCT","421"
"2007 NOV","425"
"2007 DEC","425"
"2008 JAN","439"
"2008 FEB","445"
"2008 MAR","440"
"2008 APR","430"
"2008 MAY","433"
"2008 JUN","432"
"2008 JUL","434"
"2008 AUG","434"
"2008 SEP","434"
"2008 OCT","435"
"2008 NOV","434"
"2008 DEC","436"
"2009 JAN","434"
"2009 FEB","419"
"2009 MAR","435"
"2009 APR","437"
"2009 MAY","436"
"2009 JUN","436"
"2009 JUL","435"
"2009 AUG","436"
"2009 SEP","437"
"2009 OCT","437"
"2009 NOV","439"
"2009 DEC","439"
"2010 JAN","440"
"2010 FEB","442"
"2010 MAR","442"
"2010 APR","442"
"2010 MAY","444"
"2010 JUN","444"
"2010 JUL","443"
"2010 AUG","445"
"2010 SEP","447"
"2010 OCT","447"
"2010 NOV","448"
"2010 DEC","449"
"2011 JAN","453"
"2011 FEB","453"
"2011 MAR","453"
"2011 APR","452"
"2011 MAY","453"
"2011 JUN","457"
"2011 JUL","456"
"2011 AUG","454"
"2011 SEP","454"
"2011 OCT","456"
"2011 NOV","457"
"2011 DEC","457"
"2012 JAN","455"
"2012 FEB","457"
"2012 MAR","457"
"2012 APR","460"
"2012 MAY","460"
"2012 JUN","462"
"2012 JUL","463"
"2012 AUG","464"
"2012 SEP","462"
"2012 OCT","462"
"2012 NOV","463"
"2012 DEC","461"
"2013 JAN","461"
"2013 FEB","462"
"2013 MAR","456"
"2013 APR","475"
"2013 MAY","468"
"2013 JUN","467"
"2013 JUL","466"
"2013 AUG","466"
"2013 SEP","466"
"2013 OCT","466"
"2013 NOV","466"
"2013 DEC","468"
"2014 JAN","469"
"2014 FEB","472"
"2014 MAR","461"
"2014 APR","469"
"2014 MAY","469"
"2014 JUN","470"
"2014 JUL","468"
"2014 AUG","470"
"2014 SEP","473"
"2014 OCT","475"
"2014 NOV","475"
"2014 DEC","478"
"2015 JAN","476"
"2015 FEB","479"
"2015 MAR","480"
"2015 APR","481"
"2015 MAY","482"
"2015 JUN","481"
"2015 JUL","484"
"2015 AUG","484"
"2015 SEP","483"
"2015 OCT","484"
"2015 NOV","484"
"2015 DEC","487"
"2016 JAN","489"
"2016 FEB","486"
"2016 MAR","492"
"2016 APR","493"
"2016 MAY","493"
"2016 JUN","493"
"2016 JUL","496"
"2016 AUG","495"
"2016 SEP","495"
"2016 OCT","497"
"2016 NOV","498"
"2016 DEC","496"
"2017 JAN","497"
"2017 FEB","499"
"2017 MAR","502"
"2017 APR","502"
"2017 MAY","503"
"2017 JUN","507"
"2017 JUL","504"
"2017 AUG","507"
"2017 SEP","509"
"2017 OCT","508"
"2017 NOV","509"
"2017 DEC","511"
"2018 JAN","510"
"2018 FEB","513"
"2018 MAR","519"
"2018 APR","513"
"2018 MAY","515"
"2018 JUN","518"
"2018 JUL","520"
"2018 AUG","523"
"2018 SEP","524"
"2018 OCT","530"
"2018 NOV","525"
"2018 DEC","527"
"2019 JAN","529"
"2019 FEB","531"
"2019 MAR","533"
"2019 APR","533"
"2019 MAY","535"
"2019 JUN","538"
"2019 JUL","541"
"2019 AUG","540"
"2019 SEP","546"
"2019 OCT","542"
"2019 NOV","542"
"2019 DEC","540"
"2020 JAN","545"
"2020 FEB","546"
"2020 MAR","542"
"2020 APR","527"
"2020 MAY","528"
"2020 JUN","530"
"2020 JUL","540"
"2020 AUG","550"
"2020 SEP","557"
"2020 OCT","562"
"2020 NOV","570"
"2020 DEC","567"
"2021 JAN","570"
"2021 FEB","568"
"2021 MAR","559"
"2021 APR","575"
"2021 MAY","580"
"2021 JUN","576"
"2021 JUL","580"
"2021 AUG","582"
"2021 SEP","586"
"2021 OCT","586"
"2021 NOV","590"
"2021 DEC","600"
"2022 JAN","600"
"2022 FEB","601"
"2022 MAR","614"
"2022 APR","604"
"2022 MAY","605"
"2022 JUN","612"
"2022 JUL","614"
"2022 AUG","618"
"2022 SEP","621"
